# SegDINO Rank 3
# Run ID: 20260131_14_e35afb7f
# Backbone: facebook/dinov3-vits16-pretrain-lvd1689m
# Best IoU: 0.1320
epoch,train_loss,val_loss,dice,iou,epoch_duration,cumulative_duration
1,0.876932,0.599601,0.051860,0.028022,322.0,322.0
2,0.939908,0.680866,0.199826,0.121176,319.7,641.8
3,1.263650,0.579794,0.048426,0.026984,319.7,961.5
4,1.901686,0.614928,0.207799,0.127262,319.8,1281.3
5,0.548128,0.544573,0.202446,0.122861,319.8,1601.1
6,1.631953,0.659903,0.205138,0.124618,319.8,1920.9
7,0.895731,0.685013,0.125772,0.073474,319.8,2240.7
8,1.581566,0.658598,0.021230,0.011049,319.9,2560.7
9,1.730327,0.547620,0.175411,0.105274,319.9,2880.6
10,1.823130,1.109147,0.000514,0.000260,319.9,3200.4
11,1.078772,0.579583,0.202900,0.122426,319.9,3520.4
12,1.055096,0.626748,0.214823,0.131977,319.9,3840.3
